SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
505725,HIND.EVEREST,XT,Q,137.60,146.50,137.15,142.35,142.35,144.35,29,2390,332831.00,
505726,IFB IND.LTD.,A ,Q,1081.35,1188.00,1081.35,1156.55,1144.70,1091.10,2238,21697,24802720.00,
505729,SINGER INDIA,X ,Q,37.30,38.40,37.00,37.20,37.25,37.10,80,10854,407198.00,
505737,INTER.COMBUS,X ,Q,159.00,159.00,158.00,158.00,158.00,157.20,3,80,12651.00,
505744,FED MOG GOE ,A ,Q,281.40,287.90,281.35,284.15,284.15,283.40,66,1643,466599.00,
505750,JOSTS ENG.  ,X ,Q,584.80,584.80,570.00,579.70,579.90,546.95,6,8,4648.00,
505790,SCHAEFFLER  ,A ,Q,5331.00,5440.50,5231.65,5387.95,5372.20,5353.15,133,232,1234659.00,
505800,RANE HOLDIN ,A ,Q,585.00,614.00,581.00,593.55,599.00,578.75,369,2810,1667532.00,
505827,SNL BEARINGS,X ,Q,197.80,204.00,188.25,203.65,203.95,193.90,26,698,140715.00,
505840,JAIPAN INDUS,XT,Q,8.00,8.00,8.00,8.00,8.00,8.35,3,446,3568.00,
505850,MANCREDIT   ,X ,Q,59.30,61.00,58.80,60.00,60.00,59.20,72,10822,651708.00,
505854,TRF LTD.    ,B ,Q,82.95,85.50,82.95,84.20,84.50,82.20,194,2701,226598.00,
505872,WPIL LTD.   ,X ,Q,599.00,599.00,589.00,592.20,595.00,590.00,82,2273,1347682.00,
505890,KENNAMETAL  ,A ,Q,1021.00,1047.90,1018.60,1041.65,1047.90,1022.85,101,452,468033.00,
505893,HINDHARD    ,X ,Q,157.00,157.00,146.25,152.00,152.00,153.90,12,582,86724.00,
505978,TRITON VALVE,X ,Q,934.00,1019.95,925.05,954.25,966.00,934.00,33,353,334748.00,
506003,SUDAL INDUS ,XT,Q,4.16,4.16,4.16,4.16,4.16,4.16,1,50,208.00,
506022,PRAKASH IND.,A ,Q,66.40,67.40,65.70,65.85,65.70,65.05,421,152062,10093745.00,
506027,BHORUKA ALU.,XT,Q,0.27,0.27,0.26,0.26,0.26,0.27,11,6780,1767.00,
506074,ARSHIYA     ,T ,Q,38.15,38.15,35.20,35.20,35.80,37.05,49,10853,390531.00,
506076,GRIND NORTON,A ,Q,905.00,957.95,894.40,930.60,940.00,888.15,454,3530,3192750.00,
506079,LAKSHMI PREC,Z ,Q,4.02,4.05,4.00,4.00,4.00,4.10,23,42590,170876.00,
506105,STANROSE MAF,X ,Q,76.55,84.00,76.50,78.15,78.15,77.60,18,600,46885.00,
506109,GENESYS INT.,T ,Q,108.00,110.85,106.60,107.00,107.00,111.65,19,6761,730630.00,
506122,PANKAJPIYUS ,X ,Q,46.35,46.35,45.00,45.00,45.00,47.25,6,23,1038.00,
506128,PARNAXLAB   ,X ,Q,21.00,21.00,19.15,20.30,20.30,20.15,19,21089,428282.00,
506134,INTELL CAP  ,XT,Q,3.15,3.15,3.15,3.15,3.15,3.15,2,6,18.00,
506146,VISAGAR POL ,T ,Q,0.77,0.77,0.71,0.71,0.71,0.74,44,42417,30689.00,
506184,KANANI IND  ,B ,Q,4.50,4.50,4.20,4.20,4.20,4.41,4,21,90.00,
506186,GCKL        ,X ,Q,11.18,11.18,10.18,10.99,10.99,11.29,14,3574,38763.00,
506194,ARIH SUPER  ,B ,Q,34.45,37.80,33.85,36.45,36.40,34.40,92,46598,1669977.00,
506197,BLISSGVS PH ,A ,Q,102.70,103.45,100.00,100.45,100.10,101.55,555,18420,1866292.00,
506222,INEOSSTYRO  ,B ,Q,963.05,968.75,929.65,935.40,938.50,955.85,309,2126,2003217.00,
506235,ALEMBIC LTD.,A ,Q,104.85,104.85,101.40,101.55,101.40,103.20,477,24550,2516582.00,
506248,AMINES&PLAST,X ,Q,77.35,80.00,75.50,76.70,77.20,77.20,420,29467,2258753.00,
506260,ANUH PHARMA ,X ,Q,93.00,93.00,90.25,91.75,92.20,91.30,591,63346,5806362.00,
506261,MODISON MET.,X ,Q,47.45,48.00,46.15,46.45,46.50,45.40,133,18710,879905.00,
506285,BAYER CROP  ,A ,Q,5058.00,5221.00,4964.75,5173.30,5135.00,4996.25,932,2826,14415672.00,
506365,CHEMO PHARMA,XT,Q,17.85,17.85,17.85,17.85,17.85,17.85,4,149,2659.00,
506390,CLARI CHEM  ,A ,Q,368.00,378.00,368.00,369.20,376.55,373.25,817,11762,4369868.00,
506395,COROM INTER ,A ,Q,765.35,772.00,756.10,769.65,768.90,751.10,2419,63101,48238695.00,
506401,DEEPAK NITR.,A ,Q,1580.00,1637.65,1546.60,1625.70,1625.70,1562.15,15076,179193,287386348.00,
506405,DHARAMSI CHM,X ,Q,318.55,335.70,304.50,308.25,308.25,320.50,1540,59024,18420766.00,
506414,FERMENTA    ,X ,Q,256.00,261.60,252.50,253.25,253.25,254.25,547,36280,9327879.00,
506480,GOCLCORP    ,B ,Q,225.10,225.80,221.70,222.25,222.25,222.25,131,4083,915645.00,
506520,JAYSHRI CHEM,X ,Q,3.57,3.57,3.40,3.40,3.40,3.40,16,2422,8300.00,
506522,JL MORISON  ,X ,Q,2050.00,2050.00,1950.05,2009.80,2010.00,2000.00,6,9,18048.00,
506525,KANORIA CHEM,T ,Q,91.85,91.85,85.25,90.55,90.00,87.55,70,16250,1450539.00,
506528,KELTECH EN. ,X ,Q,502.00,503.00,488.05,495.50,495.50,483.45,7,63,31660.00,
506532,NITTA GELA  ,X ,Q,157.40,167.45,157.40,165.85,162.55,161.25,58,2591,419176.00,
506579,ORIENT.CARB.,A ,Q,918.20,945.90,907.95,929.30,923.05,918.20,280,1404,1300518.00,
506590,PHIL.CARBON ,A ,Q,192.10,193.55,185.90,187.10,188.85,191.35,676,45284,8569636.00,
506597,AMAL PRODUCT,X ,Q,427.00,431.60,396.00,399.30,400.00,416.45,342,8547,3492864.00,
506605,POLYCHEM    ,X ,Q,495.00,577.00,452.15,490.60,490.00,492.00,60,925,452957.00,
506618,PUN.CHEM    ,B ,Q,900.75,915.15,885.20,887.60,885.20,885.90,74,411,370368.00,
506642,SADHANA NITR,XT,Q,27.30,27.30,25.60,26.05,25.85,26.35,185,53044,1392031.00,
506655,SUDARSH.CHEM,A ,Q,523.90,527.20,514.00,520.50,520.50,517.15,605,10289,5331941.00,
506685,ULTRAMARINE ,X ,Q,313.50,313.50,285.00,299.15,299.15,302.00,721,37692,11376403.00,
506687,TRANSPEK    ,X ,Q,1400.00,1418.80,1365.60,1380.25,1370.10,1403.70,403,39663,54833935.00,
506690,UNICHEM LAB ,A ,Q,310.70,313.00,305.80,312.45,310.75,301.55,145,8387,2572850.00,
506734,MYS PETRO   ,X ,Q,77.50,77.50,75.00,75.00,75.00,75.00,10,485,36395.00,
506767,ALKYL AMINES,A ,Q,5445.00,5740.75,5445.00,5648.50,5648.50,5426.45,2725,13807,77556954.00,
506808,TUTIALKA    ,XT,Q,11.11,11.99,11.11,11.11,11.11,11.69,42,18321,204184.00,
506820,ASTRAZEN.PH.,A ,Q,3100.00,3128.00,3000.00,3040.50,3040.50,3068.35,1969,7729,23609871.00,
506852,PUN.ALKALI  ,XT,Q,86.95,86.95,80.10,85.00,85.00,84.30,200,61656,5166378.00,
506854,TANFAC IND. ,X ,Q,237.10,246.75,237.10,242.10,242.00,236.95,198,12056,2927827.00,
506858,GUJ.PETRO   ,XT,Q,32.00,32.00,32.00,32.00,32.00,31.40,4,417,13344.00,
506863,SWADESHI IND,XT,Q,0.98,0.98,0.98,0.98,0.98,0.98,1,1,0.00,
506879,GUJ.THEMIS. ,X ,Q,199.00,208.50,199.00,203.40,203.40,199.80,162,9463,1936694.00,
506910,JAYSN DYEST ,X ,Q,59.50,59.70,57.00,57.00,57.00,58.00,43,6044,346242.00,
506919,MAKERS LAB. ,X ,Q,246.00,262.95,246.00,251.50,251.90,251.80,73,3198,817284.00,
506943,J.B.CHEMICAL,A ,Q,1278.00,1278.00,1218.60,1227.70,1227.70,1227.05,480,3029,3750636.00,
506981,BL.CHIP TEX ,X ,Q,92.05,92.10,92.05,92.10,92.10,92.00,3,535,49260.00,
507155,JAGATJIT IND,XT,Q,38.95,40.85,37.05,40.45,40.85,38.95,28,6026,226856.00,
507180,KESAR ENT.  ,X ,Q,40.20,41.00,39.75,40.25,40.25,40.75,27,25957,1044787.00,
507205,TILAKNAG IND,B ,Q,31.15,31.15,29.15,29.90,29.90,29.85,250,28265,845006.00,
507300,RAVALGAON   ,XT,Q,1721.60,1805.90,1721.60,1805.90,1805.90,1720.00,5,14,24442.00,
507315,SAKTHI SUGAR,B ,Q,8.99,9.89,8.99,9.46,9.37,9.03,372,64618,605764.00,
507410,WALCHANDNGR ,B ,Q,63.00,64.55,62.50,63.40,63.20,62.85,888,75283,4789575.00,
507435,KHOD.INDIA  ,XT,Q,60.05,65.00,59.70,65.00,65.00,62.80,15,1500,90539.00,
507438,IFB AGRO    ,B ,Q,374.00,397.55,374.00,387.90,387.90,397.25,218,1784,694837.00,
507442,DHARANI SUG ,B ,Q,7.00,7.00,6.61,6.79,6.79,6.88,48,10025,67620.00,
507450,THIRU A.SUG.,Z ,Q,6.70,7.00,6.70,6.85,6.85,6.90,8,1900,12914.00,
